airline,airline_sentiment,text
United,negative,The staff was incredibly rude and unhelpful. @United #awful
US Airways,neutral,Just another flight. @USAirways
Delta,negative,"Horrible boarding process, chaotic and stressful. @Delta #awful"
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
American,neutral,Got from A to B safely. @American
US Airways,neutral,"Food was okay, pretty standard for airline food. @USAirways"
American,negative,Seats are too small and uncomfortable. @American #awful
American,positive,Best flight ever. Will fly with you again. @American #amazing
American,negative,"Food was awful, could not eat anything. @American #awful"
American,positive,Super fast and efficient boarding process. Loved it! @American #amazing
Virgin America,neutral,Boarding was standard. @VirginAmerica
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
American,negative,Why is my flight always delayed without any notice? @American #awful
American,neutral,Boarding was standard. @American
United,positive,Smooth landing and great pilot. @United #amazing
Delta,positive,Thank you for the amazing service. @Delta #amazing
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Delta,neutral,Just another flight. @Delta
Delta,negative,Seats are too small and uncomfortable. @Delta #awful
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
Delta,positive,Smooth landing and great pilot. @Delta #amazing
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
United,positive,Great customer service at the gate. @United #amazing
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Southwest,negative,Terrible customer service on the phone. @Southwest #awful
US Airways,neutral,Boarding was standard. @USAirways
American,positive,Very comfortable seats and plenty of legroom. @American #amazing
American,positive,The food was surprisingly good. @American #amazing
Southwest,neutral,Arrived on time. Standard experience. @Southwest
Southwest,negative,Never flying with you again. Absolutely terrible. @Southwest #awful
US Airways,neutral,Arrived on time. Standard experience. @USAirways
US Airways,positive,Super fast and efficient boarding process. Loved it! @USAirways #amazing
United,neutral,Boarding was standard. @United
Delta,neutral,Arrived on time. Standard experience. @Delta
Virgin America,negative,Never flying with you again. Absolutely terrible. @VirginAmerica #awful
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
United,negative,Seats are too small and uncomfortable. @United #awful
US Airways,negative,"Horrible boarding process, chaotic and stressful. @USAirways #awful"
Virgin America,positive,Thank you for the amazing service. @VirginAmerica #amazing
United,negative,Never flying with you again. Absolutely terrible. @United #awful
Virgin America,positive,Smooth landing and great pilot. @VirginAmerica #amazing
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
